Table: Table 95

												
Exhibit				Incorporated by Reference		Filed
Number		Exhibit Description		Form		File No.		Exhibit		Filing Date		Herewith
												
10.48		Third Amendment to Amended and Restated Agreement For Research & Development Alliance on Triex Module Technology, effective as of February 12, 2015, by and between The Research Foundation For The State University of New York, on behalf of the College of Nanoscale Science and Engineering of the State University of New York, and Silevo, Inc.		10-Q(1)		001-35758		10.16c		May 6, 2015		
												
10.49		Fourth Amendment to Amended and Restated Agreement For Research & Development Alliance on Triex Module Technology, effective as of March 30, 2015, by and between The Research Foundation For The State University of New York, on behalf of the College of Nanoscale Science and Engineering of the State University of New York, and Silevo, Inc.		10-Q(1)		001-35758		10.16d		May 6, 2015		
												
10.50		Fifth Amendment to Amended and Restated Agreement For Research & Development Alliance on Triex Module Technology, effective as of June 30, 2015, by and between The Research Foundation For The State University of New York, on behalf of the College of Nanoscale Science and Engineering of the State University of New York, and Silevo, LLC.		10-Q(1)		001-35758		10.16e		July 30, 2015		
												
10.51		Sixth Amendment to Amended and Restated Agreement For Research & Development Alliance on Triex Module Technology, effective as of September 1, 2015, by and between The Research Foundation For The State University of New York, on behalf of the College of Nanoscale Science and Engineering of the State University of New York, and Silevo, LLC.		10-Q(1)		001-35758		10.16f		October 30, 2015		
												
10.52		Seventh Amendment to Amended and Restated Agreement For Research & Development Alliance on Triex Module Technology, effective as of October 9, 2015, by and between The Research Foundation For The State University of New York, on behalf of the College of Nanoscale Science and Engineering of the State University of New York, and Silevo, LLC.		10-Q(1)		001-35758		10.16g		October 30, 2015		
												
10.53		Eighth Amendment to Amended and Restated Agreement For Research & Development Alliance on Triex Module Technology, effective as of October 26, 2015, by and between The Research Foundation For The State University of New York, on behalf of the College of Nanoscale Science and Engineering of the State University of New York, and Silevo, LLC.		10-Q(1)		001-35758		10.16h		October 30, 2015		
