Table: Table 100

				
Signature		Title		Date
				
/s/ Elon Musk		Chief Executive Officer and Director (Principal Executive Officer)		January 30, 2023
Elon Musk				
				
/s/ Zachary J. Kirkhorn		Chief Financial Officer (Principal Financial Officer)		January 30, 2023
Zachary J. Kirkhorn				
				
/s/ Vaibhav Taneja		Chief Accounting Officer (Principal Accounting Officer)		January 30, 2023
Vaibhav Taneja				
				
/s/ Robyn Denholm		Director		January 30, 2023
Robyn Denholm				
				
/s/ Ira Ehrenpreis		Director		January 30, 2023
Ira Ehrenpreis				
				
/s/ Joseph Gebbia		Director		January 30, 2023
Joseph Gebbia				
				
/s/ Hiromichi Mizuno		Director		January 30, 2023
Hiromichi Mizuno				
				
/s/ James Murdoch		Director		January 30, 2023
James Murdoch				
				
/s/ Kimbal Musk		Director		January 30, 2023
Kimbal Musk				
				
/s/ Kathleen Wilson-Thompson		Director		January 30, 2023
Kathleen Wilson-Thompson				
